216 49.423079 34.608560
411 46.137887 33.654550
607 48.085971 38.846606
909 45.515176 35.008140
134 48.294925 46.758667
196 48.105076 41.438039
295 40.508457 43.840360
370 43.499429 49.030701
384 42.742226 45.774971
393 42.896758 43.749485
424 43.803449 40.172608
465 45.762231 46.988420
547 48.820836 47.158384
594 44.714737 44.632193
707 42.262492 43.369842
821 45.393446 45.414738
917 44.480466 42.094918
985 44.296425 42.895781
35 46.421123 56.918505
152 47.973325 50.169448
479 48.012412 50.381191
538 49.099740 58.719371
746 46.080897 55.489999
928 42.819900 53.210903
24 50.950039 31.593900
46 58.678015 37.495915
247 55.839297 34.473898
464 59.620756 32.781945
770 52.708088 38.098387
930 54.394248 35.744613
934 55.634521 31.470506
4 52.675028 45.443342
27 52.525240 42.783456
110 54.686618 43.912796
170 57.626190 46.822281
367 59.047621 41.564451
495 56.158794 40.411975
578 59.753766 44.874371
579 51.467526 42.355050
748 56.824093 44.626797
766 56.627480 43.824721
771 59.307338 40.664552
890 56.214619 47.851779
924 56.057812 40.289007
36 51.220302 58.651033
85 58.812174 58.514993
213 52.978164 57.295401
224 59.159932 51.451600
276 52.460956 58.317733
321 57.602409 54.232437
422 57.800267 55.656422
447 55.695690 56.198371
537 55.812694 50.955723
689 51.796686 57.362213
712 53.807582 57.521142
715 54.933042 51.195389
840 53.022994 58.576120
252 66.255426 39.745138
322 60.095753 37.175328
415 63.141420 35.784840
693 63.618529 37.412146
761 62.743725 36.199052
883 61.643588 36.766276
96 61.036477 41.500365
417 62.585427 45.697231
623 65.933899 46.281995
678 61.673843 43.779687
756 65.475463 45.545864
99 60.104123 51.409111
143 64.965771 53.427980
400 63.318904 54.785053
419 62.283162 52.766037
